,precision,recall,f1-score,support
cmdi,0.76,0.76,0.76,25.0
crypto,0.88,0.8461538461538461,0.8627450980392157,26.0
hash,0.7777777777777778,0.8076923076923077,0.7924528301886793,26.0
ldapi,1.0,0.8,0.8888888888888888,5.0
pathtraver,0.92,0.8518518518518519,0.8846153846153846,27.0
securecookie,0.5714285714285714,0.5714285714285714,0.5714285714285714,7.0
sqli,0.8421052631578947,0.8888888888888888,0.8648648648648649,54.0
trustbound,0.6666666666666666,0.5882352941176471,0.625,17.0
weakrand,1.0,1.0,1.0,44.0
xpathi,1.0,0.6666666666666666,0.8,3.0
xss,0.8846153846153846,0.9387755102040817,0.9108910891089109,49.0
accuracy,0.8586572438162544,0.8586572438162544,0.8586572438162544,0.8586572438162544
macro avg,0.8456903330587541,0.7926993579094419,0.8146260661031378,283.0
weighted avg,0.8589943237181474,0.8586572438162544,0.8576875336820652,283.0
